Tiempo (s), T1 (C), T2 (C), PWM_Heater1, PWM_Heater2
0.01, 26.88, 26.88, 0, 0
1.04, 26.88, 26.88, 0, 0
2.04, 26.88, 26.88, 0, 0
3.04, 26.88, 26.88, 0, 0
4.04, 27.37, 26.88, 0, 0
5.04, 26.88, 26.88, 0, 0
6.05, 26.88, 26.88, 0, 0
7.05, 26.88, 26.88, 0, 0
8.05, 26.88, 26.88, 0, 0
9.05, 26.88, 26.88, 0, 0
10.05, 26.88, 26.88, 0, 0
11.05, 26.88, 26.88, 0, 0
12.06, 26.88, 26.88, 0, 0
13.06, 26.88, 26.88, 0, 0
14.06, 26.88, 26.88, 0, 0
15.06, 26.88, 26.88, 0, 0
16.06, 26.88, 26.39, 0, 0
17.06, 26.88, 26.39, 0, 0
18.06, 26.39, 26.39, 0, 0
19.07, 26.88, 26.39, 0, 0
20.07, 26.39, 26.88, 0, 128
21.07, 26.88, 26.39, 0, 128
22.07, 27.37, 26.88, 0, 128
23.07, 27.86, 26.88, 0, 128
24.08, 26.88, 25.90, 0, 128
25.08, 26.88, 26.88, 0, 128
26.08, 27.86, 26.88, 0, 128
27.08, 26.88, 26.39, 0, 128
28.08, 27.37, 26.88, 0, 128
29.08, 27.86, 26.39, 0, 128
30.09, 26.88, 26.39, 0, 128
31.09, 27.37, 26.88, 0, 128
32.09, 27.86, 26.39, 0, 128
33.09, 27.37, 26.39, 0, 128
34.10, 27.86, 26.88, 0, 128
35.10, 27.86, 26.39, 0, 128
36.10, 27.86, 26.39, 0, 128
37.10, 28.35, 26.88, 0, 128
38.10, 28.35, 26.39, 0, 128
39.10, 28.35, 26.39, 0, 128
40.10, 28.84, 26.88, 0, 128
41.11, 28.84, 27.37, 0, 128
42.11, 28.35, 26.39, 0, 128
43.11, 29.33, 26.88, 0, 128
44.11, 29.33, 26.88, 0, 128
45.11, 29.33, 26.39, 0, 128
46.12, 29.81, 26.88, 0, 128
47.12, 29.81, 26.88, 0, 128
48.12, 29.81, 26.88, 0, 128
49.12, 30.30, 26.88, 0, 128
50.12, 30.79, 26.39, 0, 128
51.13, 30.30, 26.39, 0, 128
52.13, 30.79, 26.88, 0, 128
53.13, 30.79, 26.39, 0, 128
54.13, 30.79, 26.39, 0, 128
55.13, 31.28, 26.88, 0, 128
56.13, 31.77, 26.39, 0, 128
57.14, 31.77, 26.39, 0, 128
58.14, 32.26, 26.88, 0, 128
59.14, 32.26, 26.39, 0, 128
60.14, 31.77, 26.39, 0, 128
61.14, 32.26, 26.88, 0, 128
62.15, 33.24, 26.88, 0, 128
63.15, 32.75, 26.39, 0, 128
64.15, 33.24, 26.88, 0, 128
65.15, 33.72, 26.39, 0, 128
66.15, 33.24, 26.39, 0, 128
67.15, 33.72, 26.88, 0, 128
68.16, 33.72, 26.88, 0, 128
69.16, 34.21, 26.39, 0, 128
70.16, 34.70, 26.88, 0, 128
71.16, 34.70, 26.88, 0, 128
72.16, 34.70, 26.39, 0, 128
73.16, 35.19, 27.37, 0, 128
74.17, 35.19, 26.88, 0, 128
75.17, 35.19, 26.39, 0, 128
76.17, 35.68, 26.88, 0, 128
77.17, 35.68, 26.88, 0, 128
78.17, 36.17, 26.39, 0, 128
79.18, 36.66, 27.37, 0, 128
80.18, 36.66, 27.37, 0, 128
81.18, 36.66, 26.39, 0, 128
82.18, 37.15, 27.37, 0, 128
83.18, 37.15, 27.37, 0, 128
84.18, 37.15, 26.88, 0, 128
85.19, 37.63, 27.37, 0, 128
86.19, 37.63, 27.37, 0, 128
87.19, 37.63, 27.37, 0, 128
88.19, 38.61, 27.37, 0, 128
89.19, 38.12, 27.37, 0, 128
90.19, 38.61, 27.37, 0, 128
